Categoria: Todas as categorias

Semana,dengue: (Paraná),sintomas dengue: (Paraná)
2019-06-09,7,2
2019-06-16,7,2
2019-06-23,6,2
2019-06-30,4,1
2019-07-07,4,1
2019-07-14,3,1
2019-07-21,3,1
2019-07-28,3,1
2019-08-04,3,1
2019-08-11,3,1
2019-08-18,2,1
2019-08-25,3,1
2019-09-01,3,1
2019-09-08,3,1
2019-09-15,2,1
2019-09-22,3,1
2019-09-29,2,1
2019-10-06,2,<1
2019-10-13,3,1
2019-10-20,3,1
2019-10-27,4,1
2019-11-03,5,1
2019-11-10,4,1
2019-11-17,4,1
2019-11-24,4,1
2019-12-01,5,1
2019-12-08,5,2
2019-12-15,6,2
2019-12-22,8,3
2019-12-29,7,3
2020-01-05,11,3
2020-01-12,16,4
2020-01-19,20,6
2020-01-26,30,7
2020-02-02,31,8
2020-02-09,54,13
2020-02-16,62,16
2020-02-23,57,15
2020-03-01,59,16
2020-03-08,66,17
2020-03-15,57,18
2020-03-22,48,12
2020-03-29,42,10
2020-04-05,33,8
2020-04-12,27,6
2020-04-19,25,6
2020-04-26,22,5
2020-05-03,18,4
2020-05-10,15,3
2020-05-17,13,3
2020-05-24,9,2
2020-05-31,8,2
2020-06-07,8,2
2020-06-14,8,2
2020-06-21,9,3
2020-06-28,5,1
2020-07-05,6,1
2020-07-12,5,1
2020-07-19,5,2
2020-07-26,4,1
2020-08-02,4,1
2020-08-09,4,1
2020-08-16,3,1
2020-08-23,3,1
2020-08-30,3,1
2020-09-06,4,1
2020-09-13,4,1
2020-09-20,5,1
2020-09-27,4,1
2020-10-04,4,1
2020-10-11,3,1
2020-10-18,5,1
2020-10-25,4,1
2020-11-01,5,1
2020-11-08,4,1
2020-11-15,4,1
2020-11-22,5,1
2020-11-29,4,1
2020-12-06,5,2
2020-12-13,4,1
2020-12-20,5,2
2020-12-27,6,2
2021-01-03,6,2
2021-01-10,6,1
2021-01-17,4,2
2021-01-24,5,2
2021-01-31,7,2
2021-02-07,7,2
2021-02-14,7,2
2021-02-21,8,3
2021-02-28,7,2
2021-03-07,9,3
2021-03-14,11,3
2021-03-21,11,3
2021-03-28,12,2
2021-04-04,12,3
2021-04-11,13,3
2021-04-18,11,2
2021-04-25,10,3
2021-05-02,9,2
2021-05-09,7,2
2021-05-16,8,2
2021-05-23,7,2
2021-05-30,5,1
2021-06-06,5,1
2021-06-13,4,1
2021-06-20,3,1
2021-06-27,2,<1
2021-07-04,3,1
2021-07-11,2,1
2021-07-18,2,<1
2021-07-25,1,0
2021-08-01,2,0
2021-08-08,2,<1
2021-08-15,3,<1
2021-08-22,2,0
2021-08-29,2,0
2021-09-05,3,0
2021-09-12,3,1
2021-09-19,2,<1
2021-09-26,3,1
2021-10-03,2,1
2021-10-10,2,0
2021-10-17,2,0
2021-10-24,3,1
2021-10-31,2,1
2021-11-07,2,0
2021-11-14,3,0
2021-11-21,3,1
2021-11-28,3,0
2021-12-05,2,<1
2021-12-12,2,1
2021-12-19,2,0
2021-12-26,2,1
2022-01-02,4,1
2022-01-09,5,2
2022-01-16,6,3
2022-01-23,5,2
2022-01-30,5,2
2022-02-06,4,1
2022-02-13,4,1
2022-02-20,6,2
2022-02-27,9,3
2022-03-06,12,3
2022-03-13,17,5
2022-03-20,20,5
2022-03-27,27,7
2022-04-03,28,8
2022-04-10,30,9
2022-04-17,41,11
2022-04-24,45,13
2022-05-01,38,11
2022-05-08,40,11
2022-05-15,25,7
2022-05-22,22,8
2022-05-29,14,5
2022-06-05,12,4
2022-06-12,10,3
2022-06-19,11,4
2022-06-26,9,3
2022-07-03,7,3
2022-07-10,6,2
2022-07-17,6,2
2022-07-24,5,2
2022-07-31,5,1
2022-08-07,4,1
2022-08-14,4,1
2022-08-21,4,1
2022-08-28,3,1
2022-09-04,4,1
2022-09-11,4,1
2022-09-18,4,1
2022-09-25,4,1
2022-10-02,3,1
2022-10-09,3,1
2022-10-16,4,1
2022-10-23,4,1
2022-10-30,3,1
2022-11-06,4,1
2022-11-13,5,1
2022-11-20,5,2
2022-11-27,5,1
2022-12-04,5,1
2022-12-11,5,2
2022-12-18,4,1
2022-12-25,6,2
2023-01-01,4,2
2023-01-08,4,1
2023-01-15,5,1
2023-01-22,5,1
2023-01-29,4,2
2023-02-05,6,2
2023-02-12,7,2
2023-02-19,8,2
2023-02-26,12,3
2023-03-05,13,3
2023-03-12,17,5
2023-03-19,25,7
2023-03-26,35,9
2023-04-02,36,10
2023-04-09,38,10
2023-04-16,36,9
2023-04-23,36,10
2023-04-30,34,10
2023-05-07,29,8
2023-05-14,28,7
2023-05-21,21,7
2023-05-28,13,4
2023-06-04,13,4
2023-06-11,10,3
2023-06-18,9,2
2023-06-25,8,2
2023-07-02,8,2
2023-07-09,5,1
2023-07-16,4,1
2023-07-23,4,1
2023-07-30,4,1
2023-08-06,4,1
2023-08-13,4,1
2023-08-20,4,1
2023-08-27,4,1
2023-09-03,3,1
2023-09-10,4,1
2023-09-17,4,1
2023-09-24,4,1
2023-10-01,4,1
2023-10-08,4,1
2023-10-15,5,1
2023-10-22,5,1
2023-10-29,4,1
2023-11-05,6,1
2023-11-12,6,1
2023-11-19,5,1
2023-11-26,6,1
2023-12-03,6,1
2023-12-10,8,2
2023-12-17,8,3
2023-12-24,11,3
2023-12-31,14,3
2024-01-07,19,5
2024-01-14,21,5
2024-01-21,28,6
2024-01-28,41,8
2024-02-04,54,12
2024-02-11,61,14
2024-02-18,77,17
2024-02-25,88,22
2024-03-03,94,21
2024-03-10,92,21
2024-03-17,91,20
2024-03-24,94,19
2024-03-31,100,22
2024-04-07,86,19
2024-04-14,79,16
2024-04-21,82,18
2024-04-28,77,17
2024-05-05,68,15
2024-05-12,59,11
2024-05-19,48,9
2024-05-26,29,5
2024-06-02,26,6
2024-06-09,22,5
