Categoria: Todas as categorias

Semana,dengue: (Amapá),sintomas dengue: (Amapá)
2019-12-29,0,0
2020-01-05,0,0
2020-01-12,0,0
2020-01-19,0,0
2020-01-26,0,0
2020-02-02,0,0
2020-02-09,0,0
2020-02-16,0,0
2020-02-23,0,0
2020-03-01,0,0
2020-03-08,10,0
2020-03-15,9,0
2020-03-22,9,0
2020-03-29,0,0
2020-04-05,0,0
2020-04-12,9,0
2020-04-19,9,0
2020-04-26,8,0
2020-05-03,8,0
2020-05-10,9,0
2020-05-17,11,0
2020-05-24,0,0
2020-05-31,0,0
2020-06-07,0,0
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,0,0
2020-07-05,0,0
2020-07-12,0,0
2020-07-19,0,0
2020-07-26,0,0
2020-08-02,0,0
2020-08-09,0,0
2020-08-16,0,0
2020-08-23,0,0
2020-08-30,0,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,10,0
2020-11-22,0,0
2020-11-29,0,0
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,0,0
2021-01-24,0,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,0,0
2021-02-21,0,0
2021-02-28,0,0
2021-03-07,0,0
2021-03-14,0,0
2021-03-21,0,0
2021-03-28,0,0
2021-04-04,0,0
2021-04-11,0,0
2021-04-18,0,0
2021-04-25,0,0
2021-05-02,0,0
2021-05-09,0,0
2021-05-16,0,0
2021-05-23,0,0
2021-05-30,0,0
2021-06-06,0,0
2021-06-13,0,0
2021-06-20,0,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
2021-08-08,7,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,0,0
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,0,0
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,0,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,11,0
2021-11-14,0,0
2021-11-21,0,0
2021-11-28,0,0
2021-12-05,12,0
2021-12-12,0,0
2021-12-19,0,0
2021-12-26,0,0
2022-01-02,0,0
2022-01-09,0,0
2022-01-16,0,0
2022-01-23,0,0
2022-01-30,0,0
2022-02-06,7,0
2022-02-13,0,0
2022-02-20,0,0
2022-02-27,0,0
2022-03-06,0,0
2022-03-13,0,0
2022-03-20,6,0
2022-03-27,0,0
2022-04-03,0,0
2022-04-10,0,0
2022-04-17,6,0
2022-04-24,8,0
2022-05-01,7,0
2022-05-08,0,0
2022-05-15,0,0
2022-05-22,6,0
2022-05-29,0,0
2022-06-05,0,0
2022-06-12,0,0
2022-06-19,6,0
2022-06-26,0,0
2022-07-03,9,0
2022-07-10,0,0
2022-07-17,0,0
2022-07-24,0,0
2022-07-31,9,0
2022-08-07,0,0
2022-08-14,0,0
2022-08-21,6,0
2022-08-28,0,0
2022-09-04,0,0
2022-09-11,0,0
2022-09-18,0,0
2022-09-25,0,0
2022-10-02,0,0
2022-10-09,0,0
2022-10-16,0,0
2022-10-23,0,0
2022-10-30,0,0
2022-11-06,0,0
2022-11-13,0,0
2022-11-20,0,0
2022-11-27,0,0
2022-12-04,0,0
2022-12-11,0,0
2022-12-18,0,0
2022-12-25,0,0
2023-01-01,0,0
2023-01-08,6,0
2023-01-15,0,0
2023-01-22,0,0
2023-01-29,0,0
2023-02-05,0,0
2023-02-12,0,0
2023-02-19,6,0
2023-02-26,5,0
2023-03-05,7,0
2023-03-12,10,0
2023-03-19,7,0
2023-03-26,9,0
2023-04-02,5,0
2023-04-09,0,0
2023-04-16,8,0
2023-04-23,0,0
2023-04-30,5,0
2023-05-07,5,0
2023-05-14,0,0
2023-05-21,7,0
2023-05-28,0,0
2023-06-04,7,0
2023-06-11,8,0
2023-06-18,0,0
2023-06-25,8,0
2023-07-02,0,0
2023-07-09,0,0
2023-07-16,0,0
2023-07-23,0,0
2023-07-30,0,0
2023-08-06,0,0
2023-08-13,0,0
2023-08-20,7,0
2023-08-27,7,0
2023-09-03,7,0
2023-09-10,0,0
2023-09-17,0,0
2023-09-24,7,0
2023-10-01,0,0
2023-10-08,0,0
2023-10-15,0,0
2023-10-22,8,0
2023-10-29,0,0
2023-11-05,0,0
2023-11-12,0,0
2023-11-19,0,0
2023-11-26,9,0
2023-12-03,0,0
2023-12-10,0,0
2023-12-17,8,0
2023-12-24,0,0
2023-12-31,7,0
2024-01-07,15,7
2024-01-14,22,0
2024-01-21,19,0
2024-01-28,36,7
2024-02-04,46,9
2024-02-11,48,14
2024-02-18,100,20
2024-02-25,79,15
2024-03-03,76,20
2024-03-10,77,15
2024-03-17,82,12
2024-03-24,67,15
2024-03-31,78,13
2024-04-07,74,13
2024-04-14,66,18
2024-04-21,96,20
2024-04-28,57,14
2024-05-05,62,14
2024-05-12,43,8
2024-05-19,42,0
2024-05-26,36,10
2024-06-02,28,7
2024-06-09,23,0
2024-06-16,25,0
2024-06-23,22,0
2024-06-30,27,7
2024-07-07,25,0
2024-07-14,20,0
2024-07-21,34,0
2024-07-28,27,0
2024-08-04,21,0
2024-08-11,20,0
2024-08-18,17,0
2024-08-25,17,0
2024-09-01,22,0
2024-09-08,16,0
2024-09-15,11,0
2024-09-22,13,0
2024-09-29,12,0
2024-10-06,10,0
2024-10-13,0,0
2024-10-20,13,0
2024-10-27,12,0
2024-11-03,7,0
2024-11-10,10,0
2024-11-17,0,0
2024-11-24,0,0
2024-12-01,0,0
2024-12-08,0,0
2024-12-15,0,0
2024-12-22,0,0
2024-12-29,0,0
2025-01-05,14,0
2025-01-12,15,3
