Categoria: Todas as categorias

Semana,dengue: (São Paulo),sintomas dengue: (São Paulo)
2019-05-19,18,5
2019-05-26,15,5
2019-06-02,11,3
2019-06-09,10,3
2019-06-16,9,3
2019-06-23,8,3
2019-06-30,6,2
2019-07-07,3,1
2019-07-14,3,1
2019-07-21,3,1
2019-07-28,3,1
2019-08-04,3,1
2019-08-11,3,1
2019-08-18,3,1
2019-08-25,2,1
2019-09-01,2,1
2019-09-08,3,1
2019-09-15,3,1
2019-09-22,2,1
2019-09-29,3,1
2019-10-06,2,1
2019-10-13,2,1
2019-10-20,3,1
2019-10-27,2,1
2019-11-03,3,1
2019-11-10,3,1
2019-11-17,3,1
2019-11-24,3,1
2019-12-01,3,1
2019-12-08,2,1
2019-12-15,3,1
2019-12-22,3,1
2019-12-29,4,1
2020-01-05,4,1
2020-01-12,6,2
2020-01-19,6,2
2020-01-26,8,2
2020-02-02,9,2
2020-02-09,11,3
2020-02-16,13,3
2020-02-23,12,3
2020-03-01,13,3
2020-03-08,14,3
2020-03-15,15,4
2020-03-22,13,3
2020-03-29,10,2
2020-04-05,8,2
2020-04-12,9,2
2020-04-19,7,2
2020-04-26,7,2
2020-05-03,6,1
2020-05-10,6,1
2020-05-17,5,1
2020-05-24,4,1
2020-05-31,4,1
2020-06-07,4,1
2020-06-14,4,1
2020-06-21,4,1
2020-06-28,3,1
2020-07-05,3,1
2020-07-12,2,1
2020-07-19,2,1
2020-07-26,2,1
2020-08-02,2,1
2020-08-09,3,1
2020-08-16,2,<1
2020-08-23,2,<1
2020-08-30,2,<1
2020-09-06,2,<1
2020-09-13,2,<1
2020-09-20,3,<1
2020-09-27,2,<1
2020-10-04,2,<1
2020-10-11,2,<1
2020-10-18,2,<1
2020-10-25,2,<1
2020-11-01,2,<1
2020-11-08,2,<1
2020-11-15,2,<1
2020-11-22,2,1
2020-11-29,2,1
2020-12-06,2,1
2020-12-13,2,1
2020-12-20,3,1
2020-12-27,3,1
2021-01-03,3,1
2021-01-10,3,1
2021-01-17,3,1
2021-01-24,4,1
2021-01-31,4,1
2021-02-07,4,1
2021-02-14,5,2
2021-02-21,6,2
2021-02-28,7,2
2021-03-07,8,2
2021-03-14,9,3
2021-03-21,10,3
2021-03-28,10,3
2021-04-04,10,3
2021-04-11,10,3
2021-04-18,8,2
2021-04-25,8,2
2021-05-02,8,2
2021-05-09,7,2
2021-05-16,6,2
2021-05-23,6,2
2021-05-30,5,2
2021-06-06,4,1
2021-06-13,3,1
2021-06-20,3,1
2021-06-27,2,1
2021-07-04,2,1
2021-07-11,2,<1
2021-07-18,1,<1
2021-07-25,1,<1
2021-08-01,1,<1
2021-08-08,1,<1
2021-08-15,1,<1
2021-08-22,2,<1
2021-08-29,1,<1
2021-09-05,1,<1
2021-09-12,2,<1
2021-09-19,2,<1
2021-09-26,2,<1
2021-10-03,1,<1
2021-10-10,1,<1
2021-10-17,2,<1
2021-10-24,2,<1
2021-10-31,2,<1
2021-11-07,2,<1
2021-11-14,2,<1
2021-11-21,2,<1
2021-11-28,2,<1
2021-12-05,2,<1
2021-12-12,2,1
2021-12-19,2,1
2021-12-26,2,1
2022-01-02,4,2
2022-01-09,4,2
2022-01-16,5,2
2022-01-23,4,1
2022-01-30,3,1
2022-02-06,3,1
2022-02-13,4,1
2022-02-20,4,1
2022-02-27,4,1
2022-03-06,6,1
2022-03-13,7,2
2022-03-20,9,2
2022-03-27,10,3
2022-04-03,12,4
2022-04-10,13,4
2022-04-17,16,4
2022-04-24,19,6
2022-05-01,18,6
2022-05-08,21,6
2022-05-15,13,4
2022-05-22,12,4
2022-05-29,10,4
2022-06-05,9,3
2022-06-12,7,2
2022-06-19,6,2
2022-06-26,5,2
2022-07-03,4,2
2022-07-10,3,1
2022-07-17,3,1
2022-07-24,3,1
2022-07-31,3,1
2022-08-07,2,1
2022-08-14,2,1
2022-08-21,3,1
2022-08-28,3,1
2022-09-04,2,1
2022-09-11,3,1
2022-09-18,3,1
2022-09-25,2,1
2022-10-02,2,1
2022-10-09,2,1
2022-10-16,3,1
2022-10-23,3,1
2022-10-30,2,1
2022-11-06,3,1
2022-11-13,3,1
2022-11-20,3,1
2022-11-27,2,1
2022-12-04,2,1
2022-12-11,3,1
2022-12-18,3,1
2022-12-25,3,1
2023-01-01,3,1
2023-01-08,4,1
2023-01-15,4,1
2023-01-22,4,1
2023-01-29,4,1
2023-02-05,5,2
2023-02-12,7,2
2023-02-19,7,2
2023-02-26,10,3
2023-03-05,10,3
2023-03-12,11,4
2023-03-19,15,5
2023-03-26,18,6
2023-04-02,13,4
2023-04-09,17,5
2023-04-16,13,4
2023-04-23,13,4
2023-04-30,12,4
2023-05-07,12,4
2023-05-14,11,4
2023-05-21,10,3
2023-05-28,7,2
2023-06-04,6,2
2023-06-11,5,2
2023-06-18,4,1
2023-06-25,4,1
2023-07-02,5,1
2023-07-09,3,1
2023-07-16,2,1
2023-07-23,3,1
2023-07-30,3,1
2023-08-06,3,1
2023-08-13,3,1
2023-08-20,3,1
2023-08-27,3,1
2023-09-03,2,1
2023-09-10,3,1
2023-09-17,3,1
2023-09-24,3,1
2023-10-01,3,1
2023-10-08,3,1
2023-10-15,3,1
2023-10-22,3,1
2023-10-29,3,1
2023-11-05,3,1
2023-11-12,3,1
2023-11-19,4,1
2023-11-26,4,1
2023-12-03,4,1
2023-12-10,4,1
2023-12-17,4,1
2023-12-24,5,2
2023-12-31,7,2
2024-01-07,8,2
2024-01-14,10,3
2024-01-21,13,3
2024-01-28,30,7
2024-02-04,56,13
2024-02-11,60,16
2024-02-18,77,17
2024-02-25,90,18
2024-03-03,88,18
2024-03-10,75,17
2024-03-17,83,16
2024-03-24,83,16
2024-03-31,93,18
2024-04-07,100,18
2024-04-14,92,16
2024-04-21,91,16
2024-04-28,84,16
2024-05-05,83,16
2024-05-12,85,15
2024-05-19,73,16
