Categoria: Todas as categorias

Semana,dengue: (Sergipe),sintomas dengue: (Sergipe),tratamento dengue: (Sergipe)
2019-04-28,24,9,0
2019-05-05,22,0,0
2019-05-12,38,13,0
2019-05-19,41,0,0
2019-05-26,46,14,0
2019-06-02,53,18,0
2019-06-09,34,14,0
2019-06-16,36,13,0
2019-06-23,54,17,0
2019-06-30,53,20,0
2019-07-07,49,20,0
2019-07-14,41,20,0
2019-07-21,62,16,0
2019-07-28,47,16,0
2019-08-04,46,13,0
2019-08-11,34,13,0
2019-08-18,35,16,0
2019-08-25,36,12,0
2019-09-01,32,0,0
2019-09-08,39,0,0
2019-09-15,31,0,0
2019-09-22,24,0,0
2019-09-29,31,19,0
2019-10-06,22,0,0
2019-10-13,15,0,0
2019-10-20,24,9,0
2019-10-27,16,0,0
2019-11-03,20,0,0
2019-11-10,13,0,0
2019-11-17,9,0,0
2019-11-24,9,0,0
2019-12-01,9,0,0
2019-12-08,9,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,9,0,0
2020-01-19,0,0,0
2020-01-26,9,0,0
2020-02-02,9,0,0
2020-02-09,12,0,0
2020-02-16,11,0,0
2020-02-23,11,0,0
2020-03-01,21,0,0
2020-03-08,21,0,0
2020-03-15,30,0,0
2020-03-22,15,0,0
2020-03-29,17,0,0
2020-04-05,21,0,0
2020-04-12,19,0,0
2020-04-19,12,0,0
2020-04-26,14,0,0
2020-05-03,15,0,0
2020-05-10,17,0,0
2020-05-17,23,11,0
2020-05-24,24,11,0
2020-05-31,24,0,0
2020-06-07,30,9,0
2020-06-14,36,13,0
2020-06-21,29,8,0
2020-06-28,36,15,0
2020-07-05,35,9,0
2020-07-12,22,7,0
2020-07-19,22,9,0
2020-07-26,24,0,0
2020-08-02,22,13,0
2020-08-09,21,0,0
2020-08-16,10,0,0
2020-08-23,11,0,0
2020-08-30,9,0,0
2020-09-06,9,0,0
2020-09-13,9,0,0
2020-09-20,0,0,0
2020-09-27,13,0,0
2020-10-04,11,0,0
2020-10-11,0,0,0
2020-10-18,0,0,0
2020-10-25,0,0,0
2020-11-01,7,0,0
2020-11-08,8,0,0
2020-11-15,0,0,0
2020-11-22,0,0,0
2020-11-29,14,0,0
2020-12-06,9,0,0
2020-12-13,0,0,0
2020-12-20,0,0,0
2020-12-27,0,0,0
2021-01-03,0,0,0
2021-01-10,10,0,0
2021-01-17,8,0,0
2021-01-24,0,0,0
2021-01-31,0,0,0
2021-02-07,0,0,0
2021-02-14,0,0,0
2021-02-21,7,0,0
2021-02-28,10,0,0
2021-03-07,8,0,0
2021-03-14,0,0,0
2021-03-21,0,0,0
2021-03-28,9,0,0
2021-04-04,0,0,0
2021-04-11,11,0,0
2021-04-18,8,0,0
2021-04-25,10,0,0
2021-05-02,7,0,0
2021-05-09,19,0,0
2021-05-16,20,0,0
2021-05-23,17,0,0
2021-05-30,10,0,0
2021-06-06,15,0,0
2021-06-13,16,0,0
2021-06-20,14,0,0
2021-06-27,10,0,0
2021-07-04,8,0,0
2021-07-11,0,0,0
2021-07-18,14,0,0
2021-07-25,11,0,0
2021-08-01,7,0,0
2021-08-08,12,0,0
2021-08-15,11,0,0
2021-08-22,8,0,0
2021-08-29,8,0,0
2021-09-05,0,0,0
2021-09-12,0,0,0
2021-09-19,0,0,0
2021-09-26,0,0,0
2021-10-03,0,0,0
2021-10-10,0,0,0
2021-10-17,0,0,0
2021-10-24,9,0,0
2021-10-31,0,0,0
2021-11-07,11,0,0
2021-11-14,10,0,0
2021-11-21,0,0,0
2021-11-28,10,0,0
2021-12-05,0,0,0
2021-12-12,9,0,0
2021-12-19,0,0,0
2021-12-26,0,0,0
2022-01-02,10,0,0
2022-01-09,0,0,0
2022-01-16,11,0,0
2022-01-23,7,0,0
2022-01-30,0,0,0
2022-02-06,0,0,0
2022-02-13,7,0,0
2022-02-20,7,0,0
2022-02-27,0,0,0
2022-03-06,8,0,0
2022-03-13,8,0,0
2022-03-20,13,0,0
2022-03-27,12,0,0
2022-04-03,17,6,0
2022-04-10,9,0,0
2022-04-17,20,5,0
2022-04-24,22,6,0
2022-05-01,25,7,0
2022-05-08,31,7,0
2022-05-15,36,7,0
2022-05-22,30,9,0
2022-05-29,33,8,0
2022-06-05,28,12,0
2022-06-12,34,12,0
2022-06-19,36,11,0
2022-06-26,28,6,0
2022-07-03,38,15,0
2022-07-10,36,0,0
2022-07-17,38,13,0
2022-07-24,28,10,0
2022-07-31,25,14,0
2022-08-07,18,8,0
2022-08-14,21,7,0
2022-08-21,17,0,0
2022-08-28,20,0,0
2022-09-04,13,0,0
2022-09-11,10,0,0
2022-09-18,14,0,0
2022-09-25,13,6,0
2022-10-02,9,0,0
2022-10-09,12,0,0
2022-10-16,7,0,0
2022-10-23,12,0,0
2022-10-30,6,0,0
2022-11-06,13,0,0
2022-11-13,11,0,0
2022-11-20,7,0,0
2022-11-27,9,0,0
2022-12-04,7,0,0
2022-12-11,11,0,0
2022-12-18,0,0,0
2022-12-25,9,0,0
2023-01-01,0,0,0
2023-01-08,8,0,0
2023-01-15,0,0,0
2023-01-22,9,0,0
2023-01-29,8,0,0
2023-02-05,14,0,0
2023-02-12,7,0,0
2023-02-19,0,0,0
2023-02-26,14,0,0
2023-03-05,10,0,0
2023-03-12,13,6,0
2023-03-19,11,0,0
2023-03-26,27,9,0
2023-04-02,13,0,0
2023-04-09,16,0,0
2023-04-16,18,0,0
2023-04-23,12,0,0
2023-04-30,13,0,0
2023-05-07,20,11,0
2023-05-14,25,0,0
2023-05-21,18,0,0
2023-05-28,21,6,0
2023-06-04,22,0,0
2023-06-11,25,6,0
2023-06-18,23,7,0
2023-06-25,18,0,0
2023-07-02,26,0,0
2023-07-09,23,0,0
2023-07-16,22,0,0
2023-07-23,13,0,0
2023-07-30,14,0,0
2023-08-06,23,0,0
2023-08-13,19,0,0
2023-08-20,19,0,0
2023-08-27,17,0,0
2023-09-03,9,0,0
2023-09-10,14,0,0
2023-09-17,15,0,0
2023-09-24,7,0,0
2023-10-01,0,0,0
2023-10-08,7,0,0
2023-10-15,8,0,0
2023-10-22,8,0,0
2023-10-29,9,0,0
2023-11-05,12,0,0
2023-11-12,9,0,0
2023-11-19,8,0,0
2023-11-26,13,0,0
2023-12-03,14,0,0
2023-12-10,10,0,0
2023-12-17,13,0,0
2023-12-24,0,0,0
2023-12-31,13,0,0
2024-01-07,10,0,0
2024-01-14,15,0,0
2024-01-21,12,0,0
2024-01-28,23,0,0
2024-02-04,37,11,0
2024-02-11,54,12,0
2024-02-18,88,20,0
2024-02-25,100,28,0
2024-03-03,98,31,0
2024-03-10,92,21,0
2024-03-17,86,20,0
2024-03-24,54,15,0
2024-03-31,54,14,0
2024-04-07,61,14,0
2024-04-14,46,9,<1
2024-04-21,46,10,<1
2024-04-28,35,10,0
