Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão)
2019-07-28,4,0
2019-08-04,4,3
2019-08-11,4,0
2019-08-18,5,0
2019-08-25,7,0
2019-09-01,6,0
2019-09-08,7,0
2019-09-15,9,0
2019-09-22,3,0
2019-09-29,7,0
2019-10-06,5,0
2019-10-13,7,0
2019-10-20,6,0
2019-10-27,3,0
2019-11-03,6,0
2019-11-10,4,0
2019-11-17,7,0
2019-11-24,4,0
2019-12-01,4,0
2019-12-08,6,0
2019-12-15,6,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,6,0
2020-01-12,8,0
2020-01-19,8,3
2020-01-26,10,0
2020-02-02,8,3
2020-02-09,13,4
2020-02-16,21,6
2020-02-23,15,4
2020-03-01,20,4
2020-03-08,20,5
2020-03-15,21,6
2020-03-22,20,5
2020-03-29,16,4
2020-04-05,14,4
2020-04-12,19,6
2020-04-19,18,7
2020-04-26,19,6
2020-05-03,15,5
2020-05-10,13,5
2020-05-17,9,5
2020-05-24,9,2
2020-05-31,8,0
2020-06-07,6,0
2020-06-14,8,0
2020-06-21,6,2
2020-06-28,6,0
2020-07-05,6,0
2020-07-12,4,0
2020-07-19,2,0
2020-07-26,4,0
2020-08-02,0,0
2020-08-09,6,0
2020-08-16,4,0
2020-08-23,5,0
2020-08-30,5,0
2020-09-06,3,0
2020-09-13,3,0
2020-09-20,5,0
2020-09-27,5,0
2020-10-04,8,0
2020-10-11,3,0
2020-10-18,5,0
2020-10-25,5,0
2020-11-01,3,0
2020-11-08,4,0
2020-11-15,4,0
2020-11-22,4,0
2020-11-29,3,0
2020-12-06,6,0
2020-12-13,5,0
2020-12-20,3,0
2020-12-27,4,0
2021-01-03,5,0
2021-01-10,4,0
2021-01-17,4,0
2021-01-24,5,0
2021-01-31,6,0
2021-02-07,6,2
2021-02-14,4,0
2021-02-21,7,0
2021-02-28,7,0
2021-03-07,8,0
2021-03-14,9,0
2021-03-21,6,2
2021-03-28,6,0
2021-04-04,8,2
2021-04-11,7,0
2021-04-18,6,0
2021-04-25,7,0
2021-05-02,10,0
2021-05-09,7,0
2021-05-16,7,0
2021-05-23,6,0
2021-05-30,6,0
2021-06-06,8,2
2021-06-13,9,0
2021-06-20,6,2
2021-06-27,4,0
2021-07-04,5,2
2021-07-11,4,0
2021-07-18,4,0
2021-07-25,2,0
2021-08-01,3,0
2021-08-08,3,0
2021-08-15,4,0
2021-08-22,7,2
2021-08-29,6,0
2021-09-05,4,0
2021-09-12,6,0
2021-09-19,4,0
2021-09-26,5,0
2021-10-03,4,0
2021-10-10,4,0
2021-10-17,0,0
2021-10-24,4,0
2021-10-31,0,0
2021-11-07,5,0
2021-11-14,6,0
2021-11-21,4,0
2021-11-28,6,0
2021-12-05,5,0
2021-12-12,6,0
2021-12-19,7,0
2021-12-26,6,0
2022-01-02,8,0
2022-01-09,14,4
2022-01-16,14,4
2022-01-23,10,3
2022-01-30,7,0
2022-02-06,10,3
2022-02-13,11,2
2022-02-20,13,2
2022-02-27,13,3
2022-03-06,12,3
2022-03-13,16,3
2022-03-20,15,4
2022-03-27,20,6
2022-04-03,22,5
2022-04-10,20,5
2022-04-17,29,8
2022-04-24,31,7
2022-05-01,28,8
2022-05-08,28,8
2022-05-15,29,7
2022-05-22,27,8
2022-05-29,26,7
2022-06-05,24,7
2022-06-12,20,8
2022-06-19,20,7
2022-06-26,19,6
2022-07-03,19,7
2022-07-10,13,4
2022-07-17,13,3
2022-07-24,9,3
2022-07-31,9,3
2022-08-07,9,2
2022-08-14,8,2
2022-08-21,8,2
2022-08-28,10,2
2022-09-04,8,0
2022-09-11,8,2
2022-09-18,8,0
2022-09-25,8,2
2022-10-02,8,2
2022-10-09,8,2
2022-10-16,6,0
2022-10-23,6,2
2022-10-30,6,0
2022-11-06,8,2
2022-11-13,7,0
2022-11-20,8,2
2022-11-27,7,2
2022-12-04,6,2
2022-12-11,7,0
2022-12-18,6,2
2022-12-25,10,2
2023-01-01,10,3
2023-01-08,9,2
2023-01-15,10,3
2023-01-22,13,3
2023-01-29,14,3
2023-02-05,15,4
2023-02-12,19,6
2023-02-19,19,6
2023-02-26,23,6
2023-03-05,29,10
2023-03-12,29,11
2023-03-19,31,10
2023-03-26,38,12
2023-04-02,27,9
2023-04-09,28,8
2023-04-16,22,6
2023-04-23,22,6
2023-04-30,23,7
2023-05-07,23,6
2023-05-14,20,6
2023-05-21,19,6
2023-05-28,16,4
2023-06-04,13,3
2023-06-11,16,4
2023-06-18,14,4
2023-06-25,14,3
2023-07-02,17,4
2023-07-09,10,2
2023-07-16,9,2
2023-07-23,6,0
2023-07-30,7,3
2023-08-06,7,2
2023-08-13,7,2
2023-08-20,6,0
2023-08-27,7,0
2023-09-03,5,0
2023-09-10,5,0
2023-09-17,6,0
2023-09-24,6,0
2023-10-01,5,0
2023-10-08,5,2
2023-10-15,5,0
2023-10-22,8,0
2023-10-29,5,0
2023-11-05,5,0
2023-11-12,4,0
2023-11-19,6,0
2023-11-26,5,2
2023-12-03,5,0
2023-12-10,6,0
2023-12-17,5,0
2023-12-24,5,0
2023-12-31,3,0
2024-01-07,9,3
2024-01-14,11,3
2024-01-21,12,2
2024-01-28,20,5
2024-02-04,34,9
2024-02-11,56,13
2024-02-18,90,24
2024-02-25,100,24
2024-03-03,89,20
2024-03-10,82,20
2024-03-17,86,20
2024-03-24,74,22
2024-03-31,70,17
2024-04-07,69,17
2024-04-14,59,14
2024-04-21,53,13
2024-04-28,36,7
2024-05-05,29,6
2024-05-12,25,6
2024-05-19,29,5
2024-05-26,21,5
2024-06-02,19,4
2024-06-09,17,4
2024-06-16,14,4
2024-06-23,11,0
2024-06-30,9,0
2024-07-07,8,0
2024-07-14,7,1
2024-07-21,6,1
2024-07-28,6,1
