Categoria: Todas as categorias

Semana,dengue: (Paraná)
2019-04-21,13
2019-04-28,12
2019-05-05,13
2019-05-12,12
2019-05-19,11
2019-05-26,9
2019-06-02,7
2019-06-09,7
2019-06-16,7
2019-06-23,6
2019-06-30,4
2019-07-07,3
2019-07-14,2
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,2
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,3
2019-09-22,3
2019-09-29,2
2019-10-06,2
2019-10-13,3
2019-10-20,3
2019-10-27,4
2019-11-03,4
2019-11-10,4
2019-11-17,4
2019-11-24,4
2019-12-01,5
2019-12-08,4
2019-12-15,6
2019-12-22,8
2019-12-29,7
2020-01-05,11
2020-01-12,16
2020-01-19,20
2020-01-26,29
2020-02-02,31
2020-02-09,53
2020-02-16,63
2020-02-23,55
2020-03-01,64
2020-03-08,62
2020-03-15,58
2020-03-22,47
2020-03-29,42
2020-04-05,33
2020-04-12,26
2020-04-19,24
2020-04-26,22
2020-05-03,18
2020-05-10,15
2020-05-17,13
2020-05-24,9
2020-05-31,8
2020-06-07,8
2020-06-14,8
2020-06-21,9
2020-06-28,5
2020-07-05,5
2020-07-12,5
2020-07-19,5
2020-07-26,4
2020-08-02,3
2020-08-09,4
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,4
2020-09-13,4
2020-09-20,5
2020-09-27,3
2020-10-04,4
2020-10-11,3
2020-10-18,4
2020-10-25,4
2020-11-01,5
2020-11-08,4
2020-11-15,4
2020-11-22,5
2020-11-29,4
2020-12-06,5
2020-12-13,4
2020-12-20,4
2020-12-27,6
2021-01-03,5
2021-01-10,6
2021-01-17,4
2021-01-24,5
2021-01-31,7
2021-02-07,7
2021-02-14,7
2021-02-21,8
2021-02-28,7
2021-03-07,9
2021-03-14,11
2021-03-21,11
2021-03-28,11
2021-04-04,12
2021-04-11,13
2021-04-18,11
2021-04-25,10
2021-05-02,9
2021-05-09,7
2021-05-16,7
2021-05-23,7
2021-05-30,5
2021-06-06,5
2021-06-13,3
2021-06-20,3
2021-06-27,2
2021-07-04,3
2021-07-11,2
2021-07-18,2
2021-07-25,1
2021-08-01,2
2021-08-08,2
2021-08-15,3
2021-08-22,2
2021-08-29,2
2021-09-05,3
2021-09-12,3
2021-09-19,2
2021-09-26,2
2021-10-03,2
2021-10-10,2
2021-10-17,2
2021-10-24,3
2021-10-31,2
2021-11-07,2
2021-11-14,3
2021-11-21,3
2021-11-28,2
2021-12-05,2
2021-12-12,2
2021-12-19,2
2021-12-26,2
2022-01-02,4
2022-01-09,5
2022-01-16,6
2022-01-23,5
2022-01-30,5
2022-02-06,4
2022-02-13,4
2022-02-20,6
2022-02-27,8
2022-03-06,12
2022-03-13,17
2022-03-20,19
2022-03-27,26
2022-04-03,28
2022-04-10,29
2022-04-17,39
2022-04-24,42
2022-05-01,37
2022-05-08,39
2022-05-15,24
2022-05-22,22
2022-05-29,14
2022-06-05,12
2022-06-12,9
2022-06-19,10
2022-06-26,8
2022-07-03,7
2022-07-10,6
2022-07-17,5
2022-07-24,5
2022-07-31,5
2022-08-07,4
2022-08-14,4
2022-08-21,4
2022-08-28,3
2022-09-04,3
2022-09-11,4
2022-09-18,4
2022-09-25,4
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,4
2022-10-30,3
2022-11-06,4
2022-11-13,5
2022-11-20,5
2022-11-27,5
2022-12-04,5
2022-12-11,5
2022-12-18,4
2022-12-25,5
2023-01-01,4
2023-01-08,4
2023-01-15,4
2023-01-22,5
2023-01-29,4
2023-02-05,6
2023-02-12,7
2023-02-19,8
2023-02-26,11
2023-03-05,13
2023-03-12,17
2023-03-19,24
2023-03-26,34
2023-04-02,34
2023-04-09,38
2023-04-16,36
2023-04-23,35
2023-04-30,33
2023-05-07,29
2023-05-14,27
2023-05-21,21
2023-05-28,13
2023-06-04,13
2023-06-11,10
2023-06-18,9
2023-06-25,8
2023-07-02,8
2023-07-09,5
2023-07-16,4
2023-07-23,4
2023-07-30,4
2023-08-06,4
2023-08-13,4
2023-08-20,4
2023-08-27,4
2023-09-03,3
2023-09-10,4
2023-09-17,4
2023-09-24,4
2023-10-01,4
2023-10-08,4
2023-10-15,5
2023-10-22,4
2023-10-29,4
2023-11-05,6
2023-11-12,6
2023-11-19,5
2023-11-26,6
2023-12-03,6
2023-12-10,8
2023-12-17,8
2023-12-24,11
2023-12-31,13
2024-01-07,17
2024-01-14,20
2024-01-21,28
2024-01-28,41
2024-02-04,53
2024-02-11,58
2024-02-18,76
2024-02-25,90
2024-03-03,80
2024-03-10,97
2024-03-17,88
2024-03-24,83
2024-03-31,100
2024-04-07,97
2024-04-14,83
2024-04-21,93
