Categoria: Todas as categorias

Semana,sintomas dengue: (Pará)
2019-04-21,0
2019-04-28,21
2019-05-05,18
2019-05-12,0
2019-05-19,14
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,15
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,28
2019-12-29,0
2020-01-05,14
2020-01-12,15
2020-01-19,0
2020-01-26,0
2020-02-02,18
2020-02-09,18
2020-02-16,27
2020-02-23,33
2020-03-01,20
2020-03-08,21
2020-03-15,37
2020-03-22,27
2020-03-29,17
2020-04-05,0
2020-04-12,27
2020-04-19,36
2020-04-26,23
2020-05-03,11
2020-05-10,24
2020-05-17,14
2020-05-24,22
2020-05-31,12
2020-06-07,12
2020-06-14,0
2020-06-21,0
2020-06-28,11
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,10
2021-01-17,0
2021-01-24,12
2021-01-31,0
2021-02-07,13
2021-02-14,0
2021-02-21,12
2021-02-28,18
2021-03-07,12
2021-03-14,17
2021-03-21,0
2021-03-28,0
2021-04-04,9
2021-04-11,10
2021-04-18,0
2021-04-25,14
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,11
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,11
2021-12-12,0
2021-12-19,19
2021-12-26,15
2022-01-02,0
2022-01-09,23
2022-01-16,28
2022-01-23,23
2022-01-30,16
2022-02-06,0
2022-02-13,0
2022-02-20,12
2022-02-27,10
2022-03-06,10
2022-03-13,9
2022-03-20,10
2022-03-27,12
2022-04-03,7
2022-04-10,7
2022-04-17,14
2022-04-24,19
2022-05-01,20
2022-05-08,17
2022-05-15,11
2022-05-22,8
2022-05-29,11
2022-06-05,10
2022-06-12,9
2022-06-19,8
2022-06-26,0
2022-07-03,10
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,8
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,8
2022-10-23,8
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,9
2022-12-11,13
2022-12-18,9
2022-12-25,11
2023-01-01,10
2023-01-08,10
2023-01-15,8
2023-01-22,0
2023-01-29,8
2023-02-05,16
2023-02-12,20
2023-02-19,16
2023-02-26,16
2023-03-05,19
2023-03-12,22
2023-03-19,20
2023-03-26,27
2023-04-02,26
2023-04-09,19
2023-04-16,19
2023-04-23,16
2023-04-30,21
2023-05-07,8
2023-05-14,20
2023-05-21,14
2023-05-28,16
2023-06-04,0
2023-06-11,13
2023-06-18,0
2023-06-25,12
2023-07-02,9
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,9
2023-11-05,0
2023-11-12,0
2023-11-19,8
2023-11-26,0
2023-12-03,0
2023-12-10,9
2023-12-17,0
2023-12-24,0
2023-12-31,18
2024-01-07,18
2024-01-14,19
2024-01-21,27
2024-01-28,28
2024-02-04,61
2024-02-11,71
2024-02-18,91
2024-02-25,91
2024-03-03,100
2024-03-10,83
2024-03-17,88
2024-03-24,76
2024-03-31,68
2024-04-07,74
2024-04-14,61
2024-04-21,46
