Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba)
2019-08-11,14,3
2019-08-18,12,0
2019-08-25,12,2
2019-09-01,12,4
2019-09-08,12,3
2019-09-15,10,0
2019-09-22,9,0
2019-09-29,13,2
2019-10-06,6,3
2019-10-13,6,0
2019-10-20,7,0
2019-10-27,8,2
2019-11-03,8,0
2019-11-10,7,0
2019-11-17,6,0
2019-11-24,6,0
2019-12-01,5,0
2019-12-08,6,0
2019-12-15,4,0
2019-12-22,4,3
2019-12-29,3,0
2020-01-05,2,0
2020-01-12,5,0
2020-01-19,7,0
2020-01-26,5,0
2020-02-02,8,2
2020-02-09,10,2
2020-02-16,9,2
2020-02-23,12,3
2020-03-01,13,3
2020-03-08,14,2
2020-03-15,21,3
2020-03-22,16,3
2020-03-29,13,2
2020-04-05,11,3
2020-04-12,12,2
2020-04-19,14,3
2020-04-26,17,4
2020-05-03,16,5
2020-05-10,23,6
2020-05-17,21,6
2020-05-24,24,8
2020-05-31,23,6
2020-06-07,22,5
2020-06-14,18,6
2020-06-21,22,4
2020-06-28,23,7
2020-07-05,23,5
2020-07-12,21,7
2020-07-19,21,6
2020-07-26,15,4
2020-08-02,13,3
2020-08-09,9,2
2020-08-16,12,3
2020-08-23,10,2
2020-08-30,7,0
2020-09-06,9,2
2020-09-13,9,0
2020-09-20,9,0
2020-09-27,9,0
2020-10-04,8,3
2020-10-11,6,0
2020-10-18,8,3
2020-10-25,8,0
2020-11-01,5,0
2020-11-08,5,0
2020-11-15,5,0
2020-11-22,5,4
2020-11-29,8,0
2020-12-06,6,0
2020-12-13,5,0
2020-12-20,6,0
2020-12-27,6,0
2021-01-03,3,0
2021-01-10,4,2
2021-01-17,4,0
2021-01-24,3,0
2021-01-31,4,0
2021-02-07,4,0
2021-02-14,4,0
2021-02-21,7,2
2021-02-28,5,0
2021-03-07,9,2
2021-03-14,9,2
2021-03-21,9,3
2021-03-28,8,2
2021-04-04,7,0
2021-04-11,11,2
2021-04-18,9,3
2021-04-25,10,3
2021-05-02,13,3
2021-05-09,17,5
2021-05-16,21,4
2021-05-23,20,6
2021-05-30,19,6
2021-06-06,19,5
2021-06-13,18,4
2021-06-20,18,5
2021-06-27,19,5
2021-07-04,19,5
2021-07-11,22,4
2021-07-18,19,5
2021-07-25,17,4
2021-08-01,14,3
2021-08-08,12,2
2021-08-15,15,5
2021-08-22,16,3
2021-08-29,11,2
2021-09-05,10,3
2021-09-12,10,0
2021-09-19,9,3
2021-09-26,8,0
2021-10-03,7,2
2021-10-10,7,3
2021-10-17,8,0
2021-10-24,7,0
2021-10-31,6,0
2021-11-07,7,0
2021-11-14,7,3
2021-11-21,6,0
2021-11-28,8,0
2021-12-05,7,0
2021-12-12,8,3
2021-12-19,7,0
2021-12-26,6,0
2022-01-02,7,0
2022-01-09,8,3
2022-01-16,8,3
2022-01-23,9,3
2022-01-30,11,4
2022-02-06,8,2
2022-02-13,11,3
2022-02-20,12,3
2022-02-27,12,4
2022-03-06,12,3
2022-03-13,17,3
2022-03-20,17,4
2022-03-27,21,5
2022-04-03,32,9
2022-04-10,31,8
2022-04-17,40,11
2022-04-24,52,14
2022-05-01,48,12
2022-05-08,59,16
2022-05-15,76,21
2022-05-22,66,19
2022-05-29,57,14
2022-06-05,66,18
2022-06-12,65,19
2022-06-19,59,19
2022-06-26,52,16
2022-07-03,49,15
2022-07-10,44,13
2022-07-17,36,11
2022-07-24,31,8
2022-07-31,27,7
2022-08-07,22,6
2022-08-14,21,5
2022-08-21,15,4
2022-08-28,14,4
2022-09-04,11,3
2022-09-11,11,3
2022-09-18,10,3
2022-09-25,8,3
2022-10-02,7,0
2022-10-09,6,0
2022-10-16,8,0
2022-10-23,6,2
2022-10-30,6,0
2022-11-06,8,0
2022-11-13,7,2
2022-11-20,6,2
2022-11-27,5,2
2022-12-04,6,0
2022-12-11,4,0
2022-12-18,5,0
2022-12-25,5,0
2023-01-01,4,0
2023-01-08,5,0
2023-01-15,3,0
2023-01-22,6,2
2023-01-29,5,0
2023-02-05,6,2
2023-02-12,7,0
2023-02-19,5,0
2023-02-26,7,0
2023-03-05,9,2
2023-03-12,10,2
2023-03-19,11,3
2023-03-26,16,3
2023-04-02,16,6
2023-04-09,18,5
2023-04-16,14,6
2023-04-23,15,4
2023-04-30,15,3
2023-05-07,14,5
2023-05-14,13,3
2023-05-21,12,2
2023-05-28,8,0
2023-06-04,10,3
2023-06-11,7,0
2023-06-18,10,2
2023-06-25,9,0
2023-07-02,8,0
2023-07-09,9,3
2023-07-16,6,0
2023-07-23,7,2
2023-07-30,5,0
2023-08-06,6,0
2023-08-13,7,2
2023-08-20,5,0
2023-08-27,5,0
2023-09-03,5,0
2023-09-10,4,0
2023-09-17,6,2
2023-09-24,6,0
2023-10-01,5,0
2023-10-08,4,0
2023-10-15,5,0
2023-10-22,5,0
2023-10-29,4,0
2023-11-05,5,0
2023-11-12,6,0
2023-11-19,7,0
2023-11-26,6,2
2023-12-03,5,0
2023-12-10,4,0
2023-12-17,5,0
2023-12-24,8,0
2023-12-31,7,4
2024-01-07,5,3
2024-01-14,7,2
2024-01-21,11,3
2024-01-28,16,4
2024-02-04,26,6
2024-02-11,52,14
2024-02-18,88,16
2024-02-25,100,20
2024-03-03,98,21
2024-03-10,82,16
2024-03-17,80,19
2024-03-24,52,13
2024-03-31,53,10
2024-04-07,58,10
2024-04-14,47,9
2024-04-21,41,8
2024-04-28,31,9
2024-05-05,27,6
2024-05-12,21,4
2024-05-19,20,3
2024-05-26,19,3
2024-06-02,17,3
2024-06-09,18,4
2024-06-16,16,3
2024-06-23,13,2
2024-06-30,13,0
2024-07-07,12,3
2024-07-14,14,3
2024-07-21,13,2
2024-07-28,11,<1
2024-08-04,11,2
2024-08-11,10,2
